Date,ADANIENT_Open,ADANIENT_High,ADANIENT_Low,ADANIENT_Close,ADANIENT_Volume
2023-08-14,2480,2484,2400,2456,9786919
2023-08-16,2450,2465,2420,2445,7084828
2023-08-17,2454,2487,2442,2479,7769452
2023-08-18,2477,2665,2461,2577,14679923
2023-08-21,2588,2655,2580,2639,10479200
2023-08-22,2668,2721,2654,2698,10291468
2023-08-23,2720,2722,2488,2530,5251316
2023-08-24,2580,2613,2531,2539,4558367
2023-08-25,2549,2549,2486,2495,2808721
2023-08-28,2550,2582,2455,2472,4457038
2023-08-29,2472,2536,2445,2506,4802150
2023-08-30,2517,2543,2492,2513,6484593
2023-08-31,2449,2489,2383,2419,6230369
2023-09-01,2381,2465,2380,2450,6764397
